model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_layers,start_width,width_strategy,n_conv_layers,kernel_size,n_filters_start,filter_strategy,widths,n_params,best_epoch,best_val_loss,test_loss,clf_accuracy,photon_err_pct,neutron_err_pct,composite_score,train_time_s,filters,spatial
dense,2,leaky_relu,sigmoid,0.1,1e-05,False,0.0,nadam,0.003,256,mae,1.0,64.0,geometric,,,,,[64],13802,24,0.029909221455454826,0.029876772314310074,0.9842599180784984,2.1140774307949957,1.0592146036396417,0.022824651688478192,28.0,,
dense,32,elu,linear,0.1,0.001,True,0.0,adam,0.003,512,mse,2.0,64.0,linear,,,,,"[64, 64]",27016,5,0.0031155215110629797,0.0031125862151384354,0.9866060268071768,1.3752339670968377,1.3052378537757996,0.008254747351943093,12.7,,
dense,2,swish,sigmoid,0.2,0.0001,True,0.0,nadam,0.003,1024,mae,4.0,32.0,funnel,,,,,"[128, 128, 32, 16]",71818,19,0.030619313940405846,0.030587026849389076,0.9820099613468972,2.486454536498867,1.1437264071215278,0.024304676296754313,23.9,,
cnn,32,leaky_relu,sigmoid,0.0,0.0,False,0.05,adam,0.0003,256,mse,,,,3.0,5.0,64.0,constant,,136993,24,0.0010055588791146874,0.0010056826286017895,0.9905386434876252,0.9752733720815683,0.9183615978364978,0.0052334576957447365,48.7,"[64, 64, 64]",13.0
dense,8,leaky_relu,sigmoid,0.2,0.0,False,0.02,adam,0.003,512,mse,5.0,64.0,funnel,,,,,"[8, 8, 8, 8, 8]",2496,19,0.002791278064250946,0.002785187214612961,0.9817022749562508,1.9485764949266082,1.7165286307209795,0.010544501554000052,23.2,,
cnn,2,elu,sigmoid,0.2,0.001,True,0.0,adam,0.001,256,huber,,,,3.0,5.0,64.0,constant,,88323,24,0.0012222236255183816,0.001220999751240015,0.98433683967616,1.8737070239385285,1.2733111724604202,0.008442691974679173,61.0,"[64, 64, 64]",13.0
dense,8,elu,sigmoid,0.2,0.001,True,0.05,adam,0.0003,1024,mse,1.0,32.0,geometric,,,,,[32],7600,24,0.002131656976416707,0.0021292180754244328,0.9876060075767774,1.3377992316027978,1.145604447198903,0.007262824699819648,13.3,,
dense,4,swish,sigmoid,0.3,0.001,True,0.05,nadam,0.0001,1024,huber,1.0,128.0,funnel,,,,,[256],57964,24,0.001198159297928214,0.0011964623117819428,0.9856541220361147,1.7141168357797263,1.1681409281274062,0.007772018630906763,16.4,,
cnn,2,leaky_relu,linear,0.1,0.001,False,0.05,nadam,0.0003,1024,mae,,,,3.0,7.0,64.0,double,,591619,24,0.037924930453300476,0.03784754127264023,0.9841445356820061,2.0943749384297115,1.100531485341897,0.026890197385647185,43.3,"[64, 128, 256]",13.0
dense,8,elu,sigmoid,0.2,0.001,False,0.0,adamw,0.001,256,mae,2.0,32.0,geometric,,,,,"[32, 16]",8144,22,0.035275403410196304,0.03519778326153755,0.9842310724793754,2.0057137227859325,1.1681409281274062,0.025522165465410473,32.5,,
cnn,2,elu,sigmoid,0.3,1e-05,True,0.1,adam,0.0003,1024,mse,,,,3.0,7.0,64.0,constant,,121347,20,0.0024126165080815554,0.0024100972805172205,0.9831060941135747,1.8047483006600333,1.5794317050725863,0.009653261197253404,32.4,"[64, 64, 64]",13.0
cnn,32,swish,sigmoid,0.1,1e-05,False,0.05,adam,0.0003,1024,mae,,,,2.0,3.0,64.0,double,,266145,25,0.024449951946735382,0.024435464292764664,0.9903655698928867,1.0146783568121367,0.9146055176817474,0.017042191026924336,24.0,"[64, 128]",26.0
dense,2,relu,linear,0.0,1e-05,True,0.1,adam,0.0003,1024,huber,5.0,256.0,geometric,,,,,"[256, 128, 64, 32, 16]",145418,25,0.0019602214451879263,0.001958849374204874,0.9767119863079556,2.336715594522707,2.3212575356358105,0.012624117568616144,26.7,,
cnn,16,elu,sigmoid,0.0,0.001,True,0.1,adamw,0.003,1024,mae,,,,2.0,3.0,32.0,constant,,34289,13,0.027512747794389725,0.02750023826956749,0.9897694275110094,1.0205891045217221,1.0254098822468871,0.018871660141690172,16.2,"[32, 32]",26.0
dense,4,elu,sigmoid,0.3,1e-05,True,0.02,adamw,0.003,256,mae,4.0,32.0,geometric,,,,,"[32, 16, 8, 8]",8876,25,0.031161382794380188,0.031122561544179916,0.9844714524720678,1.8618855285193576,1.2582868518414183,0.023344965161156195,44.5,,
dense,2,elu,sigmoid,0.3,0.001,True,0.02,adamw,0.0001,256,mse,1.0,256.0,linear,,,,,[256],56938,25,0.002413444686681032,0.0024100844748318195,0.9832214765100671,1.9879814796571766,1.382237496948185,0.009595984088306975,31.7,,
cnn,8,swish,linear,0.1,1e-05,True,0.02,adam,0.0001,1024,mse,,,,2.0,3.0,64.0,constant,,54217,25,0.0023662180174142122,0.0023659439757466316,0.9869714043960693,1.4382819426657472,1.173775048359532,0.007697406810672436,23.7,"[64, 64]",26.0
dense,2,relu,sigmoid,0.0,0.0,False,0.1,adam,0.0003,1024,huber,1.0,32.0,linear,,,,,[32],6954,25,0.0017880980158224702,0.001780470716767013,0.9535105094132805,7.1835287163826225,2.2329896519991737,0.02413879430127097,11.6,,
cnn,8,elu,linear,0.1,0.0001,True,0.02,nadam,0.001,512,mse,,,,2.0,3.0,32.0,double,,41417,24,0.0019245847361162305,0.001923198695294559,0.9877598507721005,1.3180967392375136,1.1343362067346516,0.0070823669820078705,29.4,"[32, 64]",26.0
dense,32,elu,linear,0.1,0.0001,False,0.02,adamw,0.001,256,mse,5.0,128.0,funnel,,,,,"[256, 64, 64, 64, 32]",109640,6,0.0033335902262479067,0.0033285554964095354,0.9835676236995442,1.952516993399665,1.3484327755554304,0.009882983263351852,26.0,,
dense,32,leaky_relu,sigmoid,0.1,0.0001,False,0.0,nadam,0.0003,512,mse,5.0,64.0,funnel,,,,,"[256, 64, 64, 32, 32]",103432,25,0.003933518193662167,0.0039175208657979965,0.9727697544277994,4.007486947098808,1.4986759817454505,0.015581881882931359,26.7,,
cnn,4,leaky_relu,linear,0.2,0.0,False,0.1,adamw,0.0001,256,mse,,,,2.0,7.0,32.0,double,,44229,17,0.0022979280911386013,0.002295722020789981,0.987202169189054,1.4678356812136735,1.100531485341897,0.007547879451042294,39.9,"[32, 64]",26.0
cnn,32,swish,sigmoid,0.0,0.0,False,0.0,adamw,0.0003,512,mae,,,,2.0,5.0,32.0,double,,129121,25,0.021814562380313873,0.02180582471191883,0.9906636410838253,0.945719633533642,0.9221176779912483,0.015575460648244277,24.6,"[32, 64]",26.0
cnn,4,elu,sigmoid,0.2,0.001,False,0.02,adam,0.0003,512,mae,,,,2.0,7.0,32.0,constant,,22373,25,0.030727094039320946,0.0307044368237257,0.9858752716293917,1.6451581125012313,1.1906774090559094,0.02242591120496462,27.1,"[32, 32]",26.0
dense,8,elu,sigmoid,0.3,0.0,True,0.02,adam,0.003,512,mse,2.0,64.0,geometric,,,,,"[64, 32]",18992,25,0.0021893868688493967,0.002186905825510621,0.9865675660083459,1.5564968968574524,1.1399703269667776,0.007810910430251727,22.0,,
dense,16,leaky_relu,linear,0.0,0.0001,True,0.1,nadam,0.001,256,mae,3.0,64.0,funnel,,,,,"[256, 128, 16]",127512,25,0.029582396149635315,0.029479995369911194,0.987202169189054,1.2373165205398484,1.3202621743948015,0.02119011348029065,41.2,,
cnn,2,relu,linear,0.2,0.0001,True,0.0,adamw,0.0003,512,mae,,,,3.0,3.0,64.0,double,,265987,25,0.048551734536886215,0.04852568358182907,0.48801946116420836,0.0,100.0,0.28026613668633893,48.3,"[64, 128, 256]",13.0
cnn,16,relu,linear,0.2,0.0,True,0.05,nadam,0.003,512,mse,,,,3.0,7.0,16.0,double,,64337,22,0.002215468790382147,0.0022133069578558207,0.9858945020288071,1.7082060880701406,1.1268240464251507,0.008160483380787509,35.4,"[16, 32, 64]",13.0
cnn,16,elu,linear,0.3,0.0,True,0.05,adam,0.003,1024,huber,,,,3.0,5.0,32.0,constant,,35345,25,0.0008734343573451042,0.0008736218442209065,0.9890771331320551,1.1585065510787114,1.0291659624016376,0.005898150612644981,25.5,"[32, 32, 32]",13.0
dense,32,swish,sigmoid,0.0,0.0001,True,0.0,adam,0.001,256,mae,2.0,32.0,geometric,,,,,"[64, 64]",27016,22,0.01989673264324665,0.01990070566534996,0.9880579219630392,1.3062752438183431,1.0873852048002703,0.01591940534010372,34.1,,
dense,16,relu,linear,0.3,1e-05,True,0.1,adamw,0.0003,256,huber,1.0,32.0,linear,,,,,[32],8120,13,0.0011907130246981978,0.0011890055611729622,0.9868560219995769,1.5367944044921682,1.1024095254192725,0.007167345512560652,25.6,,
dense,4,swish,sigmoid,0.1,0.0,True,0.02,adamw,0.001,512,huber,5.0,256.0,funnel,,,,,"[8, 8, 8, 8, 8]",2748,24,0.001240442623384297,0.001238685566931963,0.9818657333512817,2.1751551571273766,1.4686273405074466,0.009687354636051304,30.0,,
cnn,4,swish,linear,0.2,1e-05,True,0.1,nadam,0.0003,512,mse,,,,2.0,7.0,32.0,double,,44741,23,0.0023580286651849747,0.002354945056140423,0.9851252860521913,1.5801398876957935,1.3991398576445622,0.00861637130649684,29.7,"[32, 64]",26.0
cnn,8,leaky_relu,sigmoid,0.1,1e-05,False,0.1,nadam,0.0003,1024,mae,,,,2.0,5.0,32.0,constant,,24809,22,0.029142681509256363,0.029120195657014847,0.9883752235533932,1.286572751453059,1.0441902830206395,0.02038372897793156,19.4,"[32, 32]",26.0
cnn,16,relu,sigmoid,0.3,0.001,False,0.1,adamw,0.0001,512,mse,,,,3.0,5.0,64.0,double,,520721,24,0.005099210422486067,0.005089720711112022,0.48801946116420836,0.0,100.0,0.25853987462913885,46.0,"[64, 128, 256]",13.0
cnn,4,leaky_relu,linear,0.3,0.0,True,0.05,nadam,0.003,1024,mae,,,,3.0,3.0,64.0,double,,279301,15,0.029038485139608383,0.029016820713877678,0.9857310436337763,1.7633730666929366,1.106165605574023,0.02165372075291605,33.4,"[64, 128, 256]",13.0
cnn,32,relu,sigmoid,0.3,1e-05,True,0.02,adam,0.001,512,mse,,,,2.0,5.0,32.0,constant,,65153,25,0.0013287197798490524,0.001327034435234964,0.9890579027326397,1.320066988474042,0.8789227562116175,0.0061354085236046685,28.1,"[32, 32]",26.0
cnn,8,swish,linear,0.0,0.001,False,0.0,adamw,0.0003,1024,mae,,,,2.0,3.0,16.0,double,,17385,25,0.03238891437649727,0.032354678958654404,0.9877021595738543,1.3831149640429514,1.0836291246455199,0.022343377401321474,15.0,"[16, 32]",26.0
dense,32,elu,sigmoid,0.1,0.001,False,0.02,adamw,0.001,512,mae,5.0,32.0,geometric,,,,,"[64, 64, 64, 64, 64]",50952,18,0.046954043209552765,0.04692777618765831,0.48801946116420836,0.0,100.0,0.2794672910226722,23.6,,
cnn,2,relu,linear,0.3,0.001,False,0.0,nadam,0.0003,256,huber,,,,3.0,7.0,64.0,double,,591619,25,0.0025294076185673475,0.002524899085983634,0.48801946116420836,0.0,100.0,0.2572549732271795,68.4,"[64, 128, 256]",13.0
dense,8,swish,linear,0.0,0.0001,False,0.1,adamw,0.0001,512,mse,4.0,64.0,linear,,,,,"[64, 48, 32, 16]",24240,25,0.004064306616783142,0.004047677852213383,0.9805388357916194,2.8568613929662106,1.0779950044133941,0.011762735412581882,23.3,,
dense,32,leaky_relu,linear,0.3,0.001,True,0.05,adam,0.0001,512,mse,2.0,256.0,funnel,,,,,"[256, 128]",130952,25,0.002272067591547966,0.0022692594211548567,0.9875963923770696,1.2649000098512462,1.2169699701391627,0.0073378376072391616,23.5,,
cnn,8,relu,linear,0.2,1e-05,True,0.02,adamw,0.001,512,mse,,,,3.0,7.0,16.0,double,,51017,25,0.0023482181131839752,0.0023459740914404392,0.9830099421164977,2.0667914491183135,1.3484327755554304,0.009669137998343125,35.2,"[16, 32, 64]",13.0
dense,4,swish,linear,0.1,0.001,True,0.1,adam,0.0001,512,mae,4.0,64.0,linear,,,,,"[64, 45, 27, 8]",23546,25,0.03383608162403107,0.03379865363240242,0.9804907597930809,2.159393163235149,1.7522113921911096,0.0266726609154751,33.5,,
cnn,16,leaky_relu,linear,0.2,0.0001,True,0.05,adamw,0.001,256,mae,,,,2.0,5.0,16.0,double,,33073,23,0.02605530060827732,0.026045404374599457,0.9904040306917175,0.9930056152103242,0.9277517982233742,0.017825634958279934,41.7,"[16, 32]",26.0
dense,4,swish,linear,0.2,0.0,False,0.05,adam,0.001,256,mse,1.0,64.0,linear,,,,,[64],14060,24,0.0022596465423703194,0.0022552702575922012,0.9866156420068845,1.5111811644172988,1.173775048359532,0.007822002267742934,28.2,,
dense,2,leaky_relu,sigmoid,0.3,0.0,False,0.05,adamw,0.003,512,mse,2.0,32.0,linear,,,,,"[32, 6]",7246,17,0.002504202304407954,0.002500176429748535,0.9813368973673583,2.6026992414540437,1.1643848479726557,0.010583652468524829,18.2,,
cnn,2,relu,linear,0.3,0.0,False,0.02,adam,0.001,256,mae,,,,2.0,7.0,32.0,double,,37571,6,0.03066105768084526,0.03063427470624447,0.9834714717024673,1.6274258693724755,1.6770897890960992,0.023594792989188984,24.0,"[32, 64]",26.0
cnn,16,swish,linear,0.3,0.0001,False,0.0,adam,0.0003,512,huber,,,,2.0,3.0,16.0,double,,30705,25,0.0013416755245998502,0.0013405397767201066,0.9890290571335166,1.2767215052704168,0.9258737581459989,0.006156309195541609,24.5,"[16, 32]",26.0
dense,4,relu,linear,0.3,0.001,True,0.0,adam,0.001,1024,mse,4.0,32.0,funnel,,,,,"[8, 8, 8, 8]",2540,20,0.0037585883401334286,0.003746570087969303,0.9704428760985365,0.4255738350901389,5.367438541138468,0.016657856120798453,21.2,,
dense,8,elu,linear,0.0,1e-05,False,0.05,adam,0.0001,256,mae,3.0,128.0,linear,,,,,"[128, 72, 16]",48160,25,0.029766054823994637,0.02973969094455242,0.9891348243303013,1.1801792926805241,0.9972392810862584,0.020315615246846663,33.2,,
dense,16,leaky_relu,linear,0.2,0.001,True,0.0,nadam,0.0001,512,huber,3.0,128.0,geometric,,,,,"[128, 64, 32]",50488,25,0.0012556567089632154,0.001253972528502345,0.9841637660814215,1.8205102945522609,1.3578229759423066,0.008545945313770842,27.0,,
dense,4,relu,linear,0.0,1e-05,True,0.1,adamw,0.0003,1024,mse,4.0,32.0,linear,,,,,"[32, 24, 16, 8]",10188,25,0.0032162193674594164,0.003212099429219961,0.9748658679640776,2.0313269628608017,2.972937442485023,0.014175175701690912,20.6,,
cnn,16,leaky_relu,linear,0.0,1e-05,True,0.1,nadam,0.003,512,huber,,,,3.0,7.0,16.0,constant,,14673,23,0.0009324648417532444,0.0009313481277786195,0.9889809811349781,1.1663875480248251,1.0404342028658893,0.005975741853387562,31.2,"[16, 16, 16]",13.0
dense,8,leaky_relu,linear,0.0,0.001,False,0.1,adamw,0.0001,256,huber,3.0,256.0,funnel,,,,,"[256, 16, 8]",62496,25,0.0024836023803800344,0.0024788849987089634,0.48801946116420836,0.0,100.0,0.25723207060808584,31.0,,
cnn,2,elu,linear,0.1,0.0001,True,0.1,adam,0.0001,1024,huber,,,,2.0,7.0,16.0,constant,,6131,25,0.001836341223679483,0.0018341505201533437,0.9841637660814215,1.7535218205102947,1.421676338573065,0.008836287571128976,19.9,"[16, 16]",26.0
dense,32,swish,sigmoid,0.1,0.0,True,0.0,nadam,0.0003,512,huber,3.0,128.0,linear,,,,,"[128, 96, 64]",70600,24,0.0009091691463254392,0.0009082583128474653,0.9890002115343935,1.1762387942074672,1.0272879223242624,0.005954478805965946,26.9,,
cnn,16,elu,linear,0.1,0.001,False,0.02,adam,0.001,512,mse,,,,3.0,3.0,32.0,constant,,26385,24,0.005055900197476149,0.005046613048762083,0.48801946116420836,0.0,100.0,0.2585182195166339,28.9,"[32, 32, 32]",13.0
cnn,4,swish,linear,0.2,0.0001,True,0.1,adamw,0.0003,1024,mae,,,,3.0,3.0,32.0,double,,78213,22,0.031808290630578995,0.0317780040204525,0.9856925828349454,1.4796571766328441,1.3841155370255602,0.023057853897816782,29.1,"[32, 64, 128]",13.0
cnn,16,swish,linear,0.1,0.001,False,0.02,nadam,0.001,256,mse,,,,2.0,7.0,32.0,double,,84177,25,0.0026037280913442373,0.0026018519420176744,0.9898559643083786,1.08560732932716,0.9465321989971265,0.006373881891482802,40.8,"[32, 64]",26.0
dense,16,elu,sigmoid,0.3,0.0001,True,0.1,nadam,0.0001,512,huber,5.0,256.0,linear,,,,,"[256, 200, 144, 88, 32]",252568,22,0.0012027864577248693,0.0012013970408588648,0.986471414011269,1.5978721308245494,1.1193118861156497,0.0073656862232279185,39.7,,
cnn,32,relu,sigmoid,0.1,0.0001,False,0.0,adamw,0.0001,1024,huber,,,,2.0,5.0,16.0,constant,,29841,25,0.0013556625926867127,0.0013547749258577824,0.9909136362762254,0.9772436213180966,0.8432399947414878,0.005221013158230647,17.0,"[16, 16]",26.0
dense,2,leaky_relu,sigmoid,0.2,0.0001,True,0.1,adam,0.0003,1024,mse,5.0,64.0,geometric,,,,,"[64, 32, 16, 8, 4]",20114,18,0.0031471422407776117,0.003142992267385125,0.9755197015442011,0.7802186976652546,4.03778616635679,0.013813720348288261,25.0,,
dense,2,swish,sigmoid,0.3,1e-05,False,0.1,nadam,0.001,512,mse,1.0,256.0,linear,,,,,[256],54890,24,0.002460518851876259,0.0024568436201661825,0.9829426357185439,2.013594719732046,1.412286138186189,0.00975894156666618,17.7,,
dense,2,swish,linear,0.2,0.001,True,0.1,adamw,0.0003,512,mse,1.0,64.0,linear,,,,,[64],14314,25,0.0024417054373770952,0.002437968971207738,0.9832022461106518,2.13377992316028,1.2470186113771669,0.009619729663362664,18.4,,
cnn,32,leaky_relu,linear,0.0,0.001,True,0.0,nadam,0.0001,1024,huber,,,,3.0,5.0,16.0,constant,,19233,25,0.0014283990021795034,0.001428088522516191,0.9900098075037018,1.058023840015762,0.9427761188423761,0.005709295749238841,21.1,"[16, 16, 16]",13.0
dense,4,leaky_relu,sigmoid,0.0,0.0,True,0.1,adam,0.001,1024,mae,1.0,128.0,linear,,,,,[128],29036,23,0.03001796267926693,0.02999242953956127,0.9808945981808043,1.544675401438282,2.259282213082427,0.02456168224923133,13.1,,
cnn,4,elu,sigmoid,0.2,0.0001,False,0.05,adamw,0.001,1024,mse,,,,2.0,5.0,16.0,double,,12837,25,0.0025118987541645765,0.0025087727699428797,0.9871060171919771,1.4501034380849178,1.136214246812027,0.007702940781093737,18.2,"[16, 32]",26.0
dense,16,leaky_relu,sigmoid,0.3,0.0,True,0.0,adamw,0.001,1024,huber,3.0,256.0,funnel,,,,,"[128, 16, 16]",33464,23,0.0012412351788952947,0.0012394239893183112,0.9825291821311128,1.7377598266180672,1.75596747234586,0.009356026523891225,16.9,,
cnn,2,elu,linear,0.0,0.0001,False,0.0,nadam,0.003,1024,mse,,,,3.0,3.0,16.0,double,,19779,25,0.002688332460820675,0.0026853180024772882,0.9845483740697294,1.8973500147768694,1.2094578098296618,0.009069979195545641,17.9,"[16, 32, 64]",13.0
dense,8,swish,sigmoid,0.0,1e-05,False,0.1,adamw,0.001,1024,huber,5.0,256.0,funnel,,,,,"[8, 8, 8, 8, 8]",2496,25,0.001866062986664474,0.0018577418522909284,0.9730101344204919,3.869569500541818,1.5831877852273368,0.014427964283086292,13.7,,
dense,16,relu,linear,0.3,0.0001,False,0.05,adam,0.003,512,mae,3.0,32.0,funnel,,,,,"[32, 16, 16]",8952,25,0.046952180564403534,0.04692588746547699,0.48801946116420836,0.0,100.0,0.2794663597000976,20.9,,
cnn,32,leaky_relu,sigmoid,0.3,0.0001,False,0.0,adamw,0.0001,1024,mae,,,,2.0,3.0,32.0,double,,120801,25,0.026196781545877457,0.026185115799307823,0.9891540547297167,1.2195842774110925,0.9559223993840028,0.01852136340808036,18.1,"[32, 64]",26.0
dense,32,elu,sigmoid,0.1,1e-05,False,0.05,adam,0.0001,512,mae,2.0,128.0,geometric,,,,,"[128, 64]",47624,25,0.02626151032745838,0.02624085731804371,0.990673256283533,0.9536006304797556,0.912727477604372,0.017794127021962702,18.6,,
dense,2,elu,sigmoid,0.2,1e-05,True,0.0,adam,0.001,256,mae,4.0,32.0,funnel,,,,,"[8, 8, 8, 8]",2506,8,0.0316726379096508,0.031631484627723694,0.9791350166342955,1.643187863264703,2.5090615433733356,0.026268810637677664,27.0,,
dense,16,swish,linear,0.0,0.001,False,0.0,nadam,0.001,512,huber,1.0,32.0,linear,,,,,[32],7864,25,0.0018333488842472434,0.0018249930581077933,0.9833560893059748,2.224411388040587,1.1305801265799011,0.009238629789136199,15.6,,
cnn,16,relu,linear,0.3,0.0,False,0.05,nadam,0.0003,256,mae,,,,3.0,7.0,64.0,constant,,143377,24,0.02618551068007946,0.02618071250617504,0.9902405722966866,1.044232095360063,0.9108494375269968,0.017972469191696427,52.2,"[64, 64, 64]",13.0
cnn,32,leaky_relu,linear,0.3,0.0,False,0.02,adamw,0.003,256,mse,,,,3.0,5.0,32.0,constant,,48033,14,0.001137123559601605,0.0011371261207386851,0.9902021114978559,1.0402915968870063,0.9221176779912483,0.005467506030872871,37.5,"[32, 32, 32]",13.0
dense,8,swish,linear,0.2,0.0001,False,0.1,adam,0.0001,256,mae,4.0,32.0,funnel,,,,,"[8, 8, 8, 8]",2352,25,0.037083979696035385,0.03701227158308029,0.9782215726620642,3.2647029849275935,1.1418483670441526,0.029431203516985582,34.5,,
cnn,4,relu,linear,0.0,0.001,True,0.1,nadam,0.0001,512,huber,,,,3.0,5.0,16.0,double,,34053,24,0.0013029545079916716,0.0013015132863074541,0.9842214572796677,1.8796177716481135,1.2902135331567974,0.008540748614161986,33.1,"[16, 32, 64]",13.0
dense,16,elu,sigmoid,0.2,0.0001,False,0.05,nadam,0.0003,512,huber,5.0,32.0,funnel,,,,,"[64, 64, 16, 16, 16]",25560,25,0.0021901042200624943,0.002181896474212408,0.9759812311301705,3.4558171608708497,1.397261817567187,0.013104436544945974,26.3,,
cnn,2,elu,linear,0.2,0.0001,True,0.0,adam,0.0003,1024,huber,,,,3.0,3.0,16.0,double,,20419,25,0.0012781972764059901,0.0012766325380653143,0.9836349300974981,2.0195054674416313,1.271433132383045,0.008821633589453926,22.6,"[16, 32, 64]",13.0
dense,32,elu,linear,0.3,0.001,True,0.02,adamw,0.001,1024,mse,5.0,32.0,geometric,,,,,"[64, 64, 64, 64, 64]",53512,22,0.002469828352332115,0.0024667338002473116,0.9860098844252995,1.4225199487735198,1.376603376716059,0.008229971963516325,21.4,,
dense,4,relu,sigmoid,0.2,0.001,True,0.1,nadam,0.003,512,mse,2.0,32.0,linear,,,,,"[32, 8]",7740,19,0.0025968579575419426,0.0025941880885511637,0.9836637756966212,2.149541917052507,1.1418483670441526,0.00946654113046036,22.3,,
cnn,2,leaky_relu,linear,0.2,0.0,False,0.1,nadam,0.0001,256,mae,,,,3.0,3.0,16.0,constant,,4291,24,0.03426041081547737,0.03423471748828888,0.9831830157112363,1.9702492365284208,1.4066520179540631,0.025538697552120515,41.7,"[16, 16, 16]",13.0
cnn,8,relu,sigmoid,0.3,0.001,False,0.02,adamw,0.0003,1024,huber,,,,3.0,3.0,32.0,double,,90249,25,0.0026267841458320618,0.0026220972649753094,0.48801946116420836,0.0,100.0,0.25730366149081185,24.5,"[32, 64, 128]",13.0
cnn,2,swish,sigmoid,0.2,0.001,True,0.1,adamw,0.0001,512,mae,,,,3.0,3.0,64.0,constant,,55299,23,0.031602758914232254,0.03156864270567894,0.9843656852752831,1.9131120086690965,1.2301162506807894,0.023618536819474567,38.0,"[64, 64, 64]",13.0
cnn,2,swish,sigmoid,0.1,0.001,True,0.0,adamw,0.001,1024,mse,,,,2.0,5.0,16.0,double,,9763,22,0.0024770016316324472,0.002474504755809903,0.9832022461106518,2.017535218205103,1.3578229759423066,0.00963737776049034,18.5,"[16, 32]",26.0
dense,32,elu,linear,0.2,1e-05,False,0.0,adam,0.001,256,mae,5.0,64.0,funnel,,,,,"[128, 128, 64, 32, 32]",84872,23,0.03064313717186451,0.030612913891673088,0.984404146074114,1.8993202640133977,1.2357503709129154,0.02311949554887527,39.5,,
dense,4,swish,linear,0.3,0.0001,True,0.02,adamw,0.0001,512,mse,3.0,128.0,funnel,,,,,"[8, 8, 8]",2332,25,0.003271255409345031,0.0032632932998239994,0.9824234149343282,1.7850458082947491,1.7315529513399814,0.010423920237508433,24.1,,
dense,8,relu,linear,0.3,0.001,False,0.0,adamw,0.001,256,huber,1.0,256.0,linear,,,,,[256],57968,24,0.0012271103914827108,0.0012253798777237535,0.9836830060960366,1.9446359964535513,1.3334084549364282,0.00877205214772303,28.9,,
dense,16,elu,linear,0.3,1e-05,False,0.1,adam,0.001,1024,mae,5.0,64.0,geometric,,,,,"[64, 32, 32, 32, 32]",25080,23,0.035589881241321564,0.03551884740591049,0.9833464741062672,2.2441138804058713,1.113677765883524,0.026121703567527188,16.8,,
dense,16,swish,sigmoid,0.2,0.0001,True,0.1,adamw,0.001,1024,huber,1.0,128.0,geometric,,,,,[128],32120,17,0.0009631809662096202,0.0009624837548471987,0.9890482875329321,1.0284701014678357,1.15875072774053,0.005957446716638781,11.9,,
cnn,2,swish,linear,0.2,1e-05,True,0.0,nadam,0.0003,512,mse,,,,3.0,3.0,64.0,double,,265987,25,0.002396703464910388,0.002394275041297078,0.9838176188919444,1.9328145010343807,1.3183841343174263,0.009289542286482988,45.6,"[64, 128, 256]",13.0
cnn,32,swish,linear,0.1,0.0,True,0.05,adam,0.001,512,mae,,,,2.0,5.0,32.0,double,,129633,23,0.021665841341018677,0.021653709933161736,0.990163650699025,1.0028568613929663,0.9653125997708791,0.015751095320996833,27.8,"[32, 64]",26.0
dense,4,elu,sigmoid,0.2,0.0,False,0.05,nadam,0.0003,1024,mse,2.0,64.0,geometric,,,,,"[64, 32]",17964,25,0.0023192213848233223,0.0023158981930464506,0.9863656468144844,1.5289134075460544,1.2057017296749113,0.007976787285169484,13.7,,
dense,16,relu,linear,0.2,1e-05,True,0.05,nadam,0.003,256,huber,2.0,128.0,linear,,,,,"[128, 32]",37560,20,0.0011586988111957908,0.0011566206812858582,0.9867406396030846,1.5564968968574524,1.106165605574023,0.007209029604055617,35.8,,
dense,8,swish,linear,0.2,0.001,True,0.02,adam,0.0003,512,mae,4.0,128.0,funnel,,,,,"[8, 8, 8, 8]",2608,18,0.03164173662662506,0.0315980464220047,0.983288782908021,2.03329721209733,1.3258962946269275,0.02417647685930202,25.2,,
dense,32,relu,linear,0.0,1e-05,True,0.1,nadam,0.0003,512,mae,2.0,256.0,linear,,,,,"[256, 64]",93448,25,0.028614649549126625,0.028576599434018135,0.9884329147516394,1.1388040587134272,1.173775048359532,0.020090867398743606,22.8,,
dense,16,relu,linear,0.2,1e-05,True,0.0,adamw,0.0003,256,mse,1.0,128.0,geometric,,,,,[128],32120,24,0.0016177493380382657,0.0016181869432330132,0.9886540643449164,1.067875086198404,1.1981895693654103,0.006481842496560919,29.4,,
